fecha,marca,zona,tipo_cristal,precio_ipc
2023-12-01,VOLKSWAGEN,CORD_TUC_STAFE,Custodia/Coleta,110430.99842509477
2023-12-01,VOLKSWAGEN,Rosario,Custodia/Coleta,103738.21063731989
2023-12-01,VOLKSWAGEN,TIERRA DEL FUEGO,Custodia/Coleta,200783.6335001723
2024-02-01,CHEVROLET,CABA,Custodia/Coleta,178056.38137691104
2024-02-01,CHEVROLET,CORD_TUC_STAFE,Custodia/Coleta,167881.73101251613
2024-02-01,CHEVROLET,Rosario,Custodia/Coleta,157707.08066593952
2024-02-01,CHEVROLET,TIERRA DEL FUEGO,Custodia/Coleta,305239.51093184744
2024-02-01,FIAT,CABA,Custodia/Coleta,143231.07238987045
2024-02-01,FIAT,CORD_TUC_STAFE,Custodia/Coleta,135046.43968187785
2024-02-01,FIAT,Rosario,Custodia/Coleta,126861.80698821857
2024-02-01,FIAT,TIERRA DEL FUEGO,Custodia/Coleta,245538.98123977793
2024-02-01,FORD,CABA,Custodia/Coleta,76674.74412136782
2024-02-01,FORD,CORD_TUC_STAFE,Custodia/Coleta,72293.33017157538
2024-02-01,FORD,Rosario,Custodia/Coleta,67911.91622945586
2024-02-01,FORD,TIERRA DEL FUEGO,Custodia/Coleta,131442.4184937734
2024-02-01,PEUGEOT,CABA,Custodia/Coleta,119812.76994910058
2024-02-01,PEUGEOT,CORD_TUC_STAFE,Custodia/Coleta,112966.32595200914
2024-02-01,PEUGEOT,Rosario,Custodia/Coleta,106119.88196690746
2024-02-01,PEUGEOT,TIERRA DEL FUEGO,Custodia/Coleta,205393.31991274384
2024-02-01,RENAULT,CABA,Custodia/Coleta,171562.94921256386
2024-02-01,RENAULT,CORD_TUC_STAFE,Custodia/Coleta,161759.35211470307
2024-02-01,RENAULT,Rosario,Custodia/Coleta,151955.7550340108
2024-02-01,RENAULT,TIERRA DEL FUEGO,Custodia/Coleta,294107.9129358238
2024-02-01,TOYOTA,CABA,Custodia/Coleta,229331.66561275694
2024-02-01,TOYOTA,CORD_TUC_STAFE,Custodia/Coleta,216226.99900631374
2024-02-01,TOYOTA,Rosario,Custodia/Coleta,203122.33242281992
2024-02-01,TOYOTA,TIERRA DEL FUEGO,Custodia/Coleta,393139.9981932976
2024-02-01,VOLKSWAGEN,CABA,Custodia/Coleta,90039.57098566741
2024-02-01,VOLKSWAGEN,CORD_TUC_STAFE,Custodia/Coleta,84894.45264362928
2024-02-01,VOLKSWAGEN,Rosario,Custodia/Coleta,79749.33431060151
2024-02-01,VOLKSWAGEN,TIERRA DEL FUEGO,Custodia/Coleta,154353.55026114415
2024-03-01,CHEVROLET,CABA,Custodia/Coleta,168416.9944064431
2024-03-01,CHEVROLET,CORD_TUC_STAFE,Custodia/Coleta,158793.16615464634
2024-03-01,CHEVROLET,Rosario,Custodia/Coleta,149169.3378738313
2024-03-01,CHEVROLET,TIERRA DEL FUEGO,Custodia/Coleta,288714.8475539025
2024-03-01,FIAT,CABA,Custodia/Coleta,135477.01312906545
2024-03-01,FIAT,CORD_TUC_STAFE,Custodia/Coleta,127735.46952169026
2024-03-01,FIAT,Rosario,Custodia/Coleta,119993.92589097236
2024-03-01,FIAT,TIERRA DEL FUEGO,Custodia/Coleta,232246.30822125502
2024-03-01,FORD,CABA,Custodia/Coleta,71398.60129860627
2024-03-01,FORD,CORD_TUC_STAFE,Custodia/Coleta,67318.6812244002
