fecha,marca,zona,tipo_cristal,precio,instalacion
2024-10-01,TOYOTA,CABA,Aleta/Ventilete,41275.96146908914,26998.013107133804
2024-10-01,TOYOTA,CABA,Custodia/Coleta,146378.41855056986,26566.347175598785
2024-10-01,TOYOTA,CABA,Luneta,221622.5492187235,41624.620584923694
2024-10-01,TOYOTA,CABA,Parabrisas,254006.52484906223,58012.65350213384
2024-10-01,TOYOTA,CABA,Puerta,74356.40155883321,19868.52206133572
2024-10-01,TOYOTA,CORD_TUC_STAFE,Aleta/Ventilete,38917.335099426906,29495.32931954368
2024-10-01,TOYOTA,CORD_TUC_STAFE,Custodia/Coleta,138013.93749053733,29023.734289341675
2024-10-01,TOYOTA,CORD_TUC_STAFE,Luneta,208958.4035490822,45474.89798902914
2024-10-01,TOYOTA,CORD_TUC_STAFE,Parabrisas,239491.8662862587,63378.82395108123
2024-10-01,TOYOTA,CORD_TUC_STAFE,Puerta,70107.46432689989,21706.360352009266
2024-10-01,TOYOTA,Rosario,Aleta/Ventilete,36558.708729764665,29495.32931954368
2024-10-01,TOYOTA,Rosario,Custodia/Coleta,129649.45643050474,29023.734289341675
2024-10-01,TOYOTA,Rosario,Luneta,196294.2578794408,45474.89798902914
2024-10-01,TOYOTA,Rosario,Parabrisas,224977.20772345513,63378.82395108123
2024-10-01,TOYOTA,Rosario,Puerta,65858.52709496656,21706.360352009266
2024-10-01,TOYOTA,TIERRA DEL FUEGO,Aleta/Ventilete,70758.7910898671,52916.10568998225
2024-10-01,TOYOTA,TIERRA DEL FUEGO,Custodia/Coleta,250934.43180097695,52070.04046417361
2024-10-01,TOYOTA,TIERRA DEL FUEGO,Luneta,379924.3700892403,81584.25634645043
2024-10-01,TOYOTA,TIERRA DEL FUEGO,Parabrisas,435439.75688410667,113704.80086418235
2024-10-01,TOYOTA,TIERRA DEL FUEGO,Puerta,127468.11695799978,38942.303240218
2024-10-01,VOLKSWAGEN,CABA,Aleta/Ventilete,44337.46874847061,26566.34717559879
2024-10-01,VOLKSWAGEN,CABA,Custodia/Coleta,56280.657593122465,27202.486443124075
2024-10-01,VOLKSWAGEN,CABA,Luneta,150978.03367252325,41453.23154054181
2024-10-01,VOLKSWAGEN,CABA,Parabrisas,209809.85898867325,58497.89236725731
2024-10-01,VOLKSWAGEN,CABA,Puerta,60473.43503356489,19219.703455688108
2024-10-01,VOLKSWAGEN,CORD_TUC_STAFE,Aleta/Ventilete,41803.89910570086,29023.73428934168
2024-10-01,VOLKSWAGEN,CORD_TUC_STAFE,Custodia/Coleta,53064.62001637262,29718.716439113057
2024-10-01,VOLKSWAGEN,CORD_TUC_STAFE,Luneta,142350.7174626648,45287.65545804193
2024-10-01,VOLKSWAGEN,CORD_TUC_STAFE,Parabrisas,197820.72418932052,63908.94741122862
2024-10-01,VOLKSWAGEN,CORD_TUC_STAFE,Puerta,57017.81017450404,20997.52602533925
2024-10-01,VOLKSWAGEN,Rosario,Aleta/Ventilete,39270.32946293111,29023.73428934168
2024-10-01,VOLKSWAGEN,Rosario,Custodia/Coleta,49848.58243962276,29718.716439113057
2024-10-01,VOLKSWAGEN,Rosario,Luneta,133723.4012528063,45287.65545804193
2024-10-01,VOLKSWAGEN,Rosario,Parabrisas,185831.58938996776,63908.94741122862
2024-10-01,VOLKSWAGEN,Rosario,Puerta,53562.185315443196,20997.52602533925
2024-10-01,VOLKSWAGEN,TIERRA DEL FUEGO,Aleta/Ventilete,76007.08928309247,52070.040464173624
2024-10-01,VOLKSWAGEN,TIERRA DEL FUEGO,Custodia/Coleta,96481.12730249566,53316.87342852318
2024-10-01,VOLKSWAGEN,TIERRA DEL FUEGO,Luneta,258819.48629575412,81248.33381946194
2024-10-01,VOLKSWAGEN,TIERRA DEL FUEGO,Parabrisas,359674.04398058273,114655.86903982433
2024-10-01,VOLKSWAGEN,TIERRA DEL FUEGO,Puerta,103668.74577182552,37670.618773148686
2025-01-01,CHEVROLET,CABA,Aleta/Ventilete,45817.283184850014,26566.34717559879
2025-01-01,CHEVROLET,CABA,Custodia/Coleta,118227.6273373168,26566.34717559879
2025-01-01,CHEVROLET,CABA,Luneta,130446.25727396525,41744.666077395654
2025-01-01,CHEVROLET,CABA,Parabrisas,198575.09786923646,57906.424019939375
2025-01-01,CHEVROLET,CABA,Puerta,61160.51726796121,18998.87061701889
2025-01-01,CHEVROLET,CORD_TUC_STAFE,Aleta/Ventilete,43199.15271714431,29023.73428934168
2025-01-01,CHEVROLET,CORD_TUC_STAFE,Custodia/Coleta,111471.76291804152,29023.73428934168
2025-01-01,CHEVROLET,CORD_TUC_STAFE,Luneta,122992.18542973867,45606.047689554754
2025-01-01,CHEVROLET,CORD_TUC_STAFE,Parabrisas,187227.94941956582,63262.76824178377
2025-01-01,CHEVROLET,CORD_TUC_STAFE,Puerta,57665.63056693486,20756.26614909313
2025-01-01,CHEVROLET,Rosario,Aleta/Ventilete,40581.02224943859,29023.73428934168
2025-01-01,CHEVROLET,Rosario,Custodia/Coleta,104715.8984987663,29023.73428934168
2025-01-01,CHEVROLET,Rosario,Luneta,115538.11358551207,45606.047689554754
2025-01-01,CHEVROLET,Rosario,Parabrisas,175880.80096989518,63262.76824178377
2025-01-01,CHEVROLET,Rosario,Puerta,54170.74386590851,20756.26614909313
2025-01-01,CHEVROLET,TIERRA DEL FUEGO,Aleta/Ventilete,78543.91403117147,52070.04046417362
2025-01-01,CHEVROLET,TIERRA DEL FUEGO,Custodia/Coleta,202675.93257825734,52070.04046417362
2025-01-01,CHEVROLET,TIERRA DEL FUEGO,Luneta,223622.15532679757,81819.54551169547
2025-01-01,CHEVROLET,TIERRA DEL FUEGO,Parabrisas,340414.4534901196,113496.5910790812
2025-01-01,CHEVROLET,TIERRA DEL FUEGO,Puerta,104846.60103079065,37237.78640935702
2025-01-01,FIAT,CABA,Aleta/Ventilete,41065.59729561796,26566.34717559879
2025-01-01,FIAT,CABA,Custodia/Coleta,89544.50551273175,26566.347175598785
2025-01-01,FIAT,CABA,Luneta,130710.0103568723,38694.54875194603
2025-01-01,FIAT,CABA,Parabrisas,211366.13610363298,58589.935291586786
2025-01-01,FIAT,CABA,Puerta,51981.36803580594,18998.87061701889
2025-01-01,FIAT,CORD_TUC_STAFE,Aleta/Ventilete,38718.99173586837,29023.73428934168
2025-01-01,FIAT,CORD_TUC_STAFE,Custodia/Coleta,84427.67662628993,29023.73428934168
2025-01-01,FIAT,CORD_TUC_STAFE,Luneta,123240.86690790819,42273.794511501044
2025-01-01,FIAT,CORD_TUC_STAFE,Parabrisas,199288.0711834254,64009.50430605856
2025-01-01,FIAT,CORD_TUC_STAFE,Puerta,49011.00414804561,20756.26614909313
2025-01-01,FIAT,Rosario,Aleta/Ventilete,36372.386176118765,29023.73428934168
2025-01-01,FIAT,Rosario,Custodia/Coleta,79310.8477398481,29023.73428934168
2025-01-01,FIAT,Rosario,Luneta,115771.72345894403,42273.794511501044
2025-01-01,FIAT,Rosario,Parabrisas,187210.0062632178,64009.50430605856
2025-01-01,FIAT,Rosario,Puerta,46040.64026028527,20756.26614909313
2025-01-01,FIAT,TIERRA DEL FUEGO,Aleta/Ventilete,70398.16679248794,52070.040464173624
2025-01-01,FIAT,TIERRA DEL FUEGO,Custodia/Coleta,153504.8665932544,52070.04046417362
